Package,Version
addinexamples,0.1.0
addinslist,0.2
assertthat,0.2.0
backports,1.1.0
base64enc,0.1-3
BH,1.65.0-1
bibtex,0.4.2
bindr,0.1
bindrcpp,0.2
binman,0.1.0
bit,1.1-12
bit64,0.9-7
bitops,1.0-6
broom,0.4.2
bsplus,0.1.0
callr,1.0.0.9000
caTools,1.17.1
cellranger,1.1.0
citr,0.2.0
clipr,0.3.3
clisymbols,1.2.0
colorspace,1.3-2
colourpicker,0.3
crayon,1.3.2
crosstalk,1.0.0
curl,2.8.1
data.table,1.10.4-2
datapasta,2.0.0
DBI,0.7
debugme,1.0.2
desc,1.1.1
devtools,1.13.3
dichromat,2.0-0
digest,0.6.12
doParallel,1.0.11
dplyr,0.7.2
DT,0.2.12
editR,0.2.2
evaluate,0.10.1
forcats,0.2.0
foreach,1.4.3
formatR,1.5
geosphere,1.5-5
ggdendro,0.1-20
ggedit,0.2.1
ggformula,0.6
ggmap,2.7
ggplot2,2.2.1
gh,1.0.1
git2r,0.19.0
glue,1.1.1
googlesheets,0.2.2.9000
googleVis,0.6.2
gridExtra,2.3
gtable,0.2.0
haven,1.1.0
highr,0.6
hms,0.3
htmltools,0.3.6
htmlwidgets,0.9
httpuv,1.3.5
httr,1.3.1
ini,0.2
insertImage,0.0.0.9000
iterators,1.0.8
jpeg,0.1-8
jsonlite,1.5
knitr,1.17
knitrBootstrap,1.0.1
labeling,0.3
latticeExtra,0.6-28
lazyeval,0.2.0
lubridate,1.6.0
magrittr,1.5
mapdata,2.2-6
mapproj,1.2-5
maps,3.2.0
markdown,0.8
memoise,1.1.0
mime,0.5
miniUI,0.1.1
mnormt,1.5-5
modelr,0.1.1
mosaic,1.1.0
mosaicCore,0.4.0
mosaicData,0.14.0
munsell,0.4.3
neuhwk,0.0.0.9000
nycflights13,0.2.2
openssl,0.9.7
packrat,0.4.8-1
pkgbuild,0.0.0.9000
pkgconfig,2.0.1
PKI,0.1-3
plogr,0.1-1
plyr,1.8.4
png,0.1-7
processx,2.0.0.1
profvis,0.3.3
proto,1.0.0
psych,1.7.5
purrr,0.2.3
R2HTML,2.3.2
R6,2.2.2
rappdirs,0.3.1
rcmdcheck,1.2.1
RColorBrewer,1.1-2
Rcpp,0.12.12
Rcrawler,0.1.5
RCurl,1.95-4.8
readr,1.1.1
readxl,1.0.0.9000
RefManageR,0.14.20
rematch,1.0.1
reshape2,1.4.2
Rfacebook,0.6.17
RgoogleMaps,1.4.1
rJava,0.9-9
rjson,0.2.15
RJSONIO,1.3-0
rlang,0.1.2
rmarkdown,1.6
ROAuth,0.9.6
rprojroot,1.2
rsconnect,0.8.5
RSelenium,1.7.1
rstudioapi,0.7.0-9000
rvest,0.3.2
scales,0.5.0
selectr,0.3-1
semver,0.2.0
sessioninfo,1.0.1
shiny,1.0.5.9000
shinyAce,0.2.1
shinyBS,0.61
shinyFiles,0.6.2
shinyjs,0.9.1
sourcetools,0.1.6
sp,1.2-5
streamR,0.2.1
stringi,1.1.5
stringr,1.2.0
subprocess,0.8.2
tibble,1.3.4
tidyr,0.7.1
tidyselect,0.2.0
tidyverse,1.1.1
twitteR,1.1.9
usethis,0.0.0.9000
viridisLite,0.2.0
wdman,0.2.2
whisker,0.3-2
withr,2.0.0
xlsx,0.5.7
xlsxjars,0.6.1
XML,3.98-1.9
xml2,1.1.1
xtable,1.8-2
yaml,2.1.14
translations,3.4.0
